hrv_value,timestamp_16,hour_timestamp
7561.0,7739120.05882353,2026-02-19 00:00:00
7327.0,9437602.176470589,2026-02-19 01:00:00
7168.0,7081812.1875,2026-02-19 02:00:00
7959.0,7829741.0,2026-02-19 03:00:00
7189.0,8425064.352941176,2026-02-19 04:00:00
7619.0,9705546.125,2026-02-19 05:00:00
8339.0,7820133.411764706,2026-02-19 06:00:00
8024.0,8402975.647058824,2026-02-19 07:00:00
7184.0,10355462.0,2026-02-19 08:00:00
7591.0,8355762.470588235,2026-02-19 09:00:00
7398.0,8029040.588235294,2026-02-19 10:00:00
7187.0,8773635.375,2026-02-19 11:00:00
7428.0,5489087.176470588,2026-02-19 12:00:00
7370.0,7220343.294117647,2026-02-19 13:00:00
7493.0,8034966.875,2026-02-19 14:00:00
7353.0,7071245.764705882,2026-02-19 15:00:00
7040.0,7739415.352941177,2026-02-19 16:00:00
6930.0,9169772.125,2026-02-19 17:00:00
7292.0,7777695.0,2026-02-19 18:00:00
7590.0,8533184.352941176,2026-02-19 19:00:00
7741.0,8736773.6875,2026-02-19 20:00:00
7578.0,11854951.05882353,2026-02-19 21:00:00
7120.0,7981964.411764706,2026-02-19 22:00:00
6911.0,8497759.5625,2026-02-19 23:00:00
